ค่าเช่า/เดือน,ประเภทห้อง,พื้นที่ห้อง (ตารางเมตร),ชั้น,ค่าเช่าต่อตารางเมตร,,,,,
15000,1,55,2,272.7272727,,,,,
18000,Duplex,38,21,473.6842105,,,,,
14000,สตูดิโอ,26.6,7,526.3157895,,,,,
,3,88,23,,,,,,
18000,ประเภทห้อง,31,12,580.6451613,,,,,
26000,1,51,30,509.8039216,,,,,
16000,1,30,xxx,533.3333333,,,,,
120000,3,196,41,612.244898,,,,,
13000,2,36,7,361.1111111,,,,,
13000,1,35,8,371.4285714,,,,,
13000,1,35,20,371.4285714,,,,,
11000,สตูดิโอ,26,18,423.0769231,,,,,
9000,1,31,15,290.3225806,,,,,
11000,ประเภทห้อง,32.5,21,338.4615385,,,,,
23000,2,58.3,5,394.5111492,,,,,
7500,1,26,4,288.4615385,,,,,
15000,1,31,24,483.8709677,,,,,
17000,1,40,18,425,,,,,
22000,2,58,3,379.3103448,,,,,
25000,2,65,-,384.6153846,,,,,
,1,31,27,,,,,,
16000,ประเภทห้อง,30,31,533.3333333,,,,,
9000,1,35,16,257.1428571,,,,,
18000,1,35.5,17,507.0422535,,,,,
9500,สตูดิโอ,22.2,6,427.9279279,,,,,
43000,3,27,2,1592.592593,,,,,
8500,ประเภทห้อง,22,7,386.3636364,,,,,
17000,1,30,28,566.6666667,,,,,
9000,สตูดิโอ,30.6,2,294.1176471,,,,,
45000,2,52,4,865.3846154,,,,,
35000,Duplex,61,22-23,573.7704918,,,,,
16000,1,41.5,6,385.5421687,,,,,
35000,2,58,0,603.4482759,,,,,
32000,2,62,23,516.1290323,,,,,
10000,1,25,15,400,,,,,
14000,1,32,21,437.5,,,,,
20000,1,35,18,571.4285714,,,,,
19000,1,38,20,500,,,,,
6500,1,29,2,224.137931,,,,,
30000,1,45,14,666.6666667,,,,,
25000,2,60,6,416.6666667,,,,,
17000,1,31,7,548.3870968,,,,,
25000,1,37,12,675.6756757,,,,,
15000,ประเภทห้อง,27,2,555.5555556,,,,,
23000,ประเภทห้อง,43,2,534.8837209,,,,,
18000,ประเภทห้อง,60,5,300,,,,,
13000,ประเภทห้อง,29,3,448.2758621,,,,,
9000,ประเภทห้อง,28,3,321.4285714,,,,,
15000,ประเภทห้อง,34,14,441.1764706,,,,,
8500,ประเภทห้อง,31,4,274.1935484,,,,,
25000,ประเภทห้อง,35,35,714.2857143,,,,,
15000,ประเภทห้อง,38,17,394.7368421,,,,,
25000,ประเภทห้อง,70,6,357.1428571,,,,,
12000,ประเภทห้อง,30,14,400,,,,,
12000,ประเภทห้อง,30,11,400,,,,,
16000,ประเภทห้อง,37,7,432.4324324,,,,,
18000,ประเภทห้อง,35,24,514.2857143,,,,,
9000,ประเภทห้อง,28,5,321.4285714,,,,,
8200,ประเภทห้อง,30,16,273.3333333,,,,,
7500,ประเภทห้อง,31,2,241.9354839,,,,,
11000,สตูดิโอ,31,6,354.8387097,,,,,
8000,ประเภทห้อง,30,14,266.6666667,,,,,
24000,ประเภทห้อง,45,31,533.3333333,,,,,
6500,ประเภทห้อง,23,7,282.6086957,,,,,
12500,1,30,23,416.6666667,,,,,
23000,1,39,2,589.7435897,,,,,
23000,1,60,7,383.3333333,,,,,
14500,1,34,7,426.4705882,,,,,
13000,1,40,8,325,,,,,
11000,1,26,25,423.0769231,,,,,
14000,1,38,22,368.4210526,,,,,
20000,1,35,26,571.4285714,,,,,
53000,2,83,22,638.5542169,,,,,
18000,1,30,18,600,,,,,
28000,ประเภทห้อง,45,11,622.2222222,,,,,
19000,ประเภทห้อง,51,15,372.5490196,,,,,
19000,ประเภทห้อง,35,8,542.8571429,,,,,
50000,ประเภทห้อง,67,7,746.2686567,,,,,
9500,ประเภทห้อง,28,3,339.2857143,,,,,
16000,ประเภทห้อง,32,8,500,,,,,
40000,ประเภทห้อง,65,15,615.3846154,,,,,
28000,ประเภทห้อง,54,14,518.5185185,,,,,
8500,ประเภทห้อง,31,8,274.1935484,,,,,
29000,ประเภทห้อง,50,11,580,,,,,
18000,ประเภทห้อง,35,8,514.2857143,,,,,
22000,ประเภทห้อง,42,8,523.8095238,,,,,
17000,ประเภทห้อง,64,1,265.625,,,,,
25000,ประเภทห้อง,35,16,714.2857143,,,,,
6500,ประเภทห้อง,23,6,282.6086957,,,,,
9500,ประเภทห้อง,28,8,339.2857143,,,,,
13000,ประเภทห้อง,32,4,406.25,,,,,
12000,ประเภทห้อง,31,7,387.0967742,,,,,
13000,สตูดิโอ,43.5,1,298.8505747,,,,,
25000,ประเภทห้อง,78,5,320.5128205,,,,,
13000,ประเภทห้อง,56,7,232.1428571,,,,,
22000,1,34.5,7,637.6811594,,,,,
32000,2,64,17,500,,,,,
19000,1,31,8,612.9032258,,,,,
20000,1,34,8,588.2352941,,,,,
16000,1,40,12,400,,,,,
20000,1,45,8,444.4444444,,,,,
30000,1,43,24,697.6744186,,,,,
22000,2,55,18,400,,,,,
10000,1,25,32,400,,,,,
13000,1,41,5,317.0731707,,,,,
12000,1,35,3,342.8571429,,,,,
12000,1,30,30,400,,,,,
13000,1,39,4,333.3333333,,,,,
13000,1,26,5,500,,,,,
18000,ประเภทห้อง,32,4,562.5,,,,,
16000,ประเภทห้อง,31,17,516.1290323,,,,,
15000,ประเภทห้อง,35,7,428.5714286,,,,,
10000,ประเภทห้อง,28,2,357.1428571,,,,,
43000,ประเภทห้อง,87,7,494.2528736,,,,,
15500,ประเภทห้อง,31,4,500,,,,,
7000,ประเภทห้อง,31,5,225.8064516,,,,,
16000,ประเภทห้อง,40,19,400,,,,,
13000,ประเภทห้อง,32,16,406.25,,,,,
17000,ประเภทห้อง,31,6,548.3870968,,,,,
12000,ประเภทห้อง,31,19,387.0967742,,,,,
8000,ประเภทห้อง,30,6,266.6666667,,,,,
24000,ประเภทห้อง,53,7,452.8301887,,,,,
9500,ประเภทห้อง,22,8,431.8181818,,,,,
14000,ประเภทห้อง,32,4,437.5,,,,,
30000,ประเภทห้อง,48,17,625,,,,,
19000,ประเภทห้อง,63,3,301.5873016,,,,,
16000,ประเภทห้อง,32,4,500,,,,,
9500,ประเภทห้อง,22,5,431.8181818,,,,,
10000,ประเภทห้อง,31,5,322.5806452,,,,,
13000,ประเภทห้อง,36,6,361.1111111,,,,,
8000,ประเภทห้อง,31,2,258.0645161,,,,,
9500,ประเภทห้อง,30,10,316.6666667,,,,,
26000,ประเภทห้อง,85,4,305.8823529,,,,,
13000,1,30,4,433.3333333,,,,,
6000,1,23,2,260.8695652,,,,,
8500,1,22,6,386.3636364,,,,,
12000,1,35,14,342.8571429,,,,,
8500,1,35,5,242.8571429,,,,,
9500,1,28,8,339.2857143,,,,,
8500,1,25,6,340,,,,,
18000,สตูดิโอ,34,10,529.4117647,,,,,
8500,1,24,14,354.1666667,,,,,
9500,1,35,12,271.4285714,,,,,
25000,2,49.5,17,505.0505051,,,,,
12000,1,39,x,307.6923077,,,,,
28000,3,72,x,388.8888889,,,,,
16000,สตูดิโอ,32,11,500,,,,,
11000,1,28.2,8,390.070922,,,,,
15000,1,22,10,681.8181818,,,,,
13500,1,37,3,364.8648649,,,,,
13800,สตูดิโอ,27,29,511.1111111,,,,,
19000,1,40,xx,475,,,,,
15000,1,35.5,20,422.5352113,,,,,
3500,1,28,4,125,,,,,
12000,1,38.5,11,311.6883117,,,,,
22000,2,45,17,488.8888889,,,,,
8500,ประเภทห้อง,29,4,293.1034483,,,,,
13000,สตูดิโอ,23,29,565.2173913,,,,,
15000,1,45,4,333.3333333,,,,,
45000,2,78.2,9,575.4475703,,,,,
13000,1,27,11,481.4814815,,,,,
29000,2,60,xx,483.3333333,,,,,
9000,สตูดิโอ,25,6,360,,,,,
8000,1,1,3,8000,,,,,
9500,1,35,16,271.4285714,,,,,
16000,1,60,5,266.6666667,,,,,
12000,1,41,4,292.6829268,,,,,
12000,สตูดิโอ,25,17,480,,,,,
25000,2,70,12,357.1428571,,,,,
20000,2,52,8,384.6153846,,,,,
13000,1,31,3,419.3548387,,,,,
14000,1,28.3,8,494.6996466,,,,,
14000,1,32,17,437.5,,,,,
24000,1,36,21,666.6666667,,,,,
14000,1,25,28,560,,,,,
28900,1,45,27,642.2222222,,,,,
12000,สตูดิโอ,31,8,387.0967742,,,,,
18000,สตูดิโอ,39,9,461.5384615,,,,,
12000,1,74,8,162.1621622,,,,,
11000,สตูดิโอ,22,20,500,,,,,
14500,1,32,22,453.125,,,,,
9500,1,30,2,316.6666667,,,,,
40000,2,60,37,666.6666667,,,,,
17000,สตูดิโอ,36,3,472.2222222,,,,,
35000,1,45,11,777.7777778,,,,,
8500,1,30,3-ก.ค.,283.3333333,,,,,
16000,1,37,5,432.4324324,,,,,
13500,1,31,12A,435.483871,,,,,
17500,2,33,45,530.3030303,,,,,
11000,1,33,9,333.3333333,,,,,
15000,1,31,7,483.8709677,,,,,
8700,1,28,4,310.7142857,,,,,
11000,1,35,17,314.2857143,,,,,
27000,2,45,21,600,,,,,
