ค่าเช่า/เดือน,ประเภทห้อง,พื้นที่ห้อง (ตารางเมตร),ชั้น,ค่าเช่าต่อตารางเมตร,,,,,
15000,1,34,12,441,,,,,
7500,1,,xx,,,,,,
12000,1,27,20,444.4444444,,,,,
18000,1,32,18,562.5,,,,,
8000,1,,xx,,,,,,
20000,2,51,18,392.1568627,,,,,
16000,1,35,3,457.1428571,,,,,
7490,1,32,2,234.0625,,,,,
8999,1,25,4,359.96,,,,,
13000,1,23,7,565.2173913,,,,,
7900,1,30,11,263.3333333,,,,,
11000,1,30,9,366.6666667,,,,,
8000,1,28,4,285.7142857,,,,,
10900,1,27,4,403.7037037,,,,,
17000,1,28,8,607.1428571,,,,,
21000,1,45,17,466.6666667,,,,,
13000,1,38,2,342.1052632,,,,,
11000,1,32,15,343.75,,,,,
13000,1,30,12,433.3333333,,,,,
9000,1,26,12,346.1538462,,,,,
9500,1,35,6,271.4285714,,,,,
9500,1,22,12,431.8181818,,,,,
11000,1,30,5,366.6666667,,,,,
9000,1,35,12,257.1428571,,,,,
10500,1,30,10,350,,,,,
10500,1,30,15,350,,,,,
9500,1,31,10,306.4516129,,,,,
31000,2,66,9,469.6969697,,,,,
10900,1,33,3,330.3030303,,,,,
8500,1,27,8,314.8148148,,,,,
21000,1,47,17,446.8085106,,,,,
21000,2,54,33,388.8888889,,,,,
13000,1,30,15,433.3333333,,,,,
16500,1,35,16,471.4285714,,,,,
7400,1,32,5,231.25,,,,,
15000,1,34,4,441.1764706,,,,,
10900,1,25,15,436,,,,,
16000,1,35,16,457.1428571,,,,,
8000,1,28,5,285.7142857,,,,,
13000,1,31,24,419.3548387,,,,,
20000,1,60,5,333.3333333,,,,,
7500,1,29,6,258.6206897,,,,,
19000,1,30,12A,633.3333333,,,,,
13000,1,38,7,342.1052632,,,,,
9000,1,31,16,290.3225806,,,,,
9000,1,26,5,346.1538462,,,,,
15500,1,30,19,516.6666667,,,,,
14000,1,32,20,437.5,,,,,
28000,2,64,4,437.5,,,,,
12000,1,41,8,292.6829268,,,,,
45000,2,60.6,34,742.5742574,,,,,
9000,1,28,5,321.4285714,,,,,
12500,1,30,16,416.6666667,,,,,
13000,สตูดิโอ,32,20,406.25,,,,,
50000,2,98,17,510.2040816,,,,,
9000,1,35,-,257.1428571,,,,,
15000,1,35,-,428.5714286,,,,,
28000,2,58,20,482.7586207,,,,,
12000,1,28,-,428.5714286,,,,,
8500,1,28,5,303.5714286,,,,,
27000,1,55,-,490.9090909,,,,,
12000,1,30,-,400,,,,,
11000,1,35,-,314.2857143,,,,,
10000,1,35,-,285.7142857,,,,,
39000,2,84,17,464.2857143,,,,,
20000,2,44,-,454.5454545,,,,,
20000,1,35,21,571.4285714,,,,,
12000,1,31,-,387.0967742,,,,,
12000,1,33,-,363.6363636,,,,,
10900,1,30,-,363.3333333,,,,,
10000,1,28,-,357.1428571,,,,,
15000,1,44,-,340.9090909,,,,,
13000,1,35,-,371.4285714,,,,,
15000,1,40,-,375,,,,,
10000,1,34,-,294.1176471,,,,,
12000,1,34,-,352.9411765,,,,,
14000,1,34,-,411.7647059,,,,,
17000,1,41,-,414.6341463,,,,,
12000,1,23,-,521.7391304,,,,,
13000,1,28,25,464.2857143,,,,,
10000,1,31,-,322.5806452,,,,,
20000,1,45,-,444.4444444,,,,,
15000,1,35,31,428.5714286,,,,,
15000,1,35,10,428.5714286,,,,,
13500,1,30,14,450,,,,,
23000,1,40,-,575,,,,,
15000,1,42,-,357.1428571,,,,,
10000,1,30,-,333.3333333,,,,,
12000,1,32,-,375,,,,,
18000,2,64,-,281.25,,,,,
10000,1,28,18,357.1428571,,,,,
16000,1,31,-,516.1290323,,,,,
26000,1,45,-,577.7777778,,,,,
12000,1,26,-,461.5384615,,,,,
13000,1,30,-,433.3333333,,,,,
13000,1,39,-,333.3333333,,,,,
13500,1,34,7,397.0588235,,,,,
13500,1,57,-,236.8421053,,,,,
38000,2,60,-,633.3333333,,,,,
13000,1,48,-,270.8333333,,,,,
23000,1,50,-,460,,,,,
14000,1,37,-,378.3783784,,,,,
14000,1,26,31,538.4615385,,,,,
32000,2,62,4,516.1290323,,,,,
15000,1,33,15,454.5454545,,,,,
12500,สตูดิโอ,27.5,22,454.5454545,,,,,
12000,1,26,1,461.5384615,,,,,
21000,2,52,17,403.8461538,,,,,
7000,1,23,8,304.3478261,,,,,
27000,2,52,11,519.2307692,,,,,
45000,2,69,6,652.173913,,,,,
11000,1,33,21,333.3333333,,,,,
13500,1,30,15,450,,,,,
24000,1,50,18,480,,,,,
12000,สตูดิโอ,27,37,444.4444444,,,,,
36000,2,82,19,439.0243902,,,,,
14500,1,38,17,381.5789474,,,,,
20000,2,53.5,25,373.8317757,,,,,
19000,1,36,16,527.7777778,,,,,
21000,1,41.3,7,508.4745763,,,,,
25000,2,49,9,510.2040816,,,,,
19000,1,40,15,475,,,,,
37000,2,51.3,5,721.2475634,,,,,
45500,2,68,7,669.1176471,,,,,
24000,1,50,14,480,,,,,
21000,2,54,22,388.8888889,,,,,
21000,1,30.4,35,690.7894737,,,,,
15000,1,38,23,394.7368421,,,,,
9500,1,30.5,4,311.4754098,,,,,
14000,1,35.5,2,394.3661972,,,,,
8000,1,31,2,258.0645161,,,,,
25000,1,45,12,555.5555556,,,,,
8000,สตูดิโอ,30,5,266.6666667,,,,,
18000,1,35,21,514.2857143,,,,,
9500,สตูดิโอ,25,5,380,,,,,
30000,2,52,20,576.9230769,,,,,
13000,สตูดิโอ,22,16,590.9090909,,,,,
12000,1,21.3,14,563.3802817,,,,,
12000,สตูดิโอ,23,0,521.7391304,,,,,
11000,1,27.3,6,402.9304029,,,,,
15000,1,31,14,483.8709677,,,,,
11000,1,28,6,392.8571429,,,,,
11000,สตูดิโอ,22,9,500,,,,,
25000,1,46,1-เม.ย.,543.4782609,,,,,
23000,2,57,15,403.5087719,,,,,
18900,1,41,4,460.9756098,,,,,
32000,2,52,32,615.3846154,,,,,
15900,1,23.7,1,670.8860759,,,,,
16000,1,35,พ.ย.-20,457.1428571,,,,,
12000,1,21,19,571.4285714,,,,,
20000,2,48,5-ต.ค.,416.6666667,,,,,
20000,2,48,1-ต.ค.,416.6666667,,,,,
20000,2,48,7,416.6666667,,,,,
12000,1,30,1-เม.ย.,400,,,,,
12000,1,30,2,400,,,,,
35000,2,50,11,700,,,,,
10000,1,43,3,232.5581395,,,,,
9500,1,28,4,339.2857143,,,,,
12000,1,22,12,545.4545455,,,,,
25500,1,38,21,671.0526316,,,,,
18000,2,65,1-เม.ย.,276.9230769,,,,,
18000,2,38,7,473.6842105,,,,,
9500,สตูดิโอ,25,11,380,,,,,
20000,1,34,11,588.2352941,,,,,
12000,1,22,21,545.4545455,,,,,
11000,1,27.9,5,394.265233,,,,,
12000,สตูดิโอ,22.5,16,533.3333333,,,,,
12000,1,22.5,16,533.3333333,,,,,
12000,1,31,14,387.0967742,,,,,
11000,1,26,5,423.0769231,,,,,
11000,1,30,-,366.6666667,,,,,
27000,2,48.5,7,556.7010309,,,,,
15900,1,23.7,28,670.8860759,,,,,
16000,1,35,11,457.1428571,,,,,
11000,1,30,4,366.6666667,,,,,
12000,1,30,8,400,,,,,
10000,1,30,8,333.3333333,,,,,
25000,2,65,1,384.6153846,,,,,
19500,1,34,12A,573.5294118,,,,,
15000,1,39,8,384.6153846,,,,,
16000,1,30,18,533.3333333,,,,,
18000,1,33.5,17,537.3134328,,,,,
14000,2,65,3,215.3846154,,,,,
13500,1,32,19,421.875,,,,,
13000,1,32,13,406.25,,,,,
19999,1,35,8,571.4,,,,,
18000,สตูดิโอ,39,17,461.5384615,,,,,
20000,1,37,5,540.5405405,,,,,
8000,สตูดิโอ,23,4,347.826087,,,,,
17500,1,30,6,583.3333333,,,,,
7500,1,33,4,227.2727273,,,,,
20000,1,35,ึ7,571.4285714,,,,,
16000,1,30,31,533.3333333,,,,,
18000,1,35,36,514.2857143,,,,,
11000,1,41.5,5,265.060241,,,,,
10000,1,45,1,222.2222222,,,,,
15000,สตูดิโอ,23,20,652.173913,,,,,
7000,1,23,7,304.3478261,,,,,
43000,3,87,2,494.2528736,,,,,
17000,1,31,27,548.3870968,,,,,
12000,1,30,17,400,,,,,
12000,1,29,8,413.7931034,,,,,
15000,1,30,29,500,,,,,
12000,1,35,15,342.8571429,,,,,
9000,สตูดิโอ,31,8,290.3225806,,,,,
30000,1,40,40,750,,,,,
18000,1,38,4,473.6842105,,,,,
22000,2,48.5,8,453.6082474,,,,,
18000,1,30,23,600,,,,,
10000,สตูดิโอ,26,2,384.6153846,,,,,
11000,สตูดิโอ,25.7,7,428.0155642,,,,,
19000,1,45,15,422.2222222,,,,,
24000,Duplex,40,15-16,600,,,,,
25000,1,47,22,531.9148936,,,,,
15000,1,30,33,500,,,,,
11000,สตูดิโอ,26,6,423.0769231,,,,,
19000,1,31,10,612.9032258,,,,,
8000,สตูดิโอ,31,2,258.0645161,,,,,
6500,1,23,5,282.6086957,,,,,
21000,1,35,10,600,,,,,
7000,สตูดิโอ,31,8,225.8064516,,,,,
19000,2,54,5,351.8518519,,,,,
29000,2,58,6,500,,,,,
11500,1,33,4,348.4848485,,,,,
33000,2,54,28,611.1111111,,,,,
12500,1,31,2,403.2258065,,,,,
12500,1,26,1,480.7692308,,,,,
12000,1,31,37,387.0967742,,,,,
8500,1,31,7,274.1935484,,,,,
50000,2,65,15,769.2307692,,,,,
12000,1,35,7,342.8571429,,,,,
12000,1,28,12A,428.5714286,,,,,
9000,1,28,7,321.4285714,,,,,
50000,3,99,3,505.0505051,,,,,
24000,Moff,42,21,571.4285714,,,,,
7500,1,31,5,241.9354839,,,,,
10000,1,25,5,400,,,,,
19000,2,58,8,327.5862069,,,,,
19000,1,34,11,558.8235294,,,,,
8000,สตูดิโอ,28.5,2,280.7017544,,,,,
13000,1,31,26,419.3548387,,,,,
19000,1,40,23,475,,,,,
24000,2,43,7,558.1395349,,,,,
10000,1,28,8,357.1428571,,,,,
24000,1,45,31,533.3333333,,,,,
7000,1,26,8,269.2307692,,,,,
19000,1,32,7,593.75,,,,,
15000,1,31,10,483.8709677,,,,,
17000,1,31,17,548.3870968,,,,,
40000,2,65,19,615.3846154,,,,,
15000,1,35,21,428.5714286,,,,,
32000,2,60,12A,533.3333333,,,,,
18000,1,35,6,514.2857143,,,,,
35000,2,64,17,546.875,,,,,
20000,Duplex,34,11,588.2352941,,,,,
15000,1,44,6,340.9090909,,,,,
30000,2,52,12,576.9230769,,,,,
16000,1,39,15,410.2564103,,,,,
30000,2,52,28,576.9230769,,,,,
9000,1,28,6,321.4285714,,,,,
15000,1,27,6,555.5555556,,,,,
9500,1,28,3,339.2857143,,,,,
17500,1,34,7,514.7058824,,,,,
20000,Duplex,34,34,588.2352941,,,,,
26000,Duplex,44,29,590.9090909,,,,,
30000,2,47,12A,638.2978723,,,,,
21000,1,45,15,466.6666667,,,,,
13500,สตูดิโอ,26,21,519.2307692,,,,,
35000,2,60,15,583.3333333,,,,,
17500,1,31,8,564.516129,,,,,
30000,1,55,14,545.4545455,,,,,
13000,สตูดิโอ,21,14,619.047619,,,,,
45000,2,65,20,692.3076923,,,,,
7000,สตูดิโอ,28.5,8,245.6140351,,,,,
14000,1,35,27,400,,,,,
7000,1,36,5,194.4444444,,,,,
24000,1,48,2,500,,,,,
13000,สตูดิโอ,26.5,23,490.5660377,,,,,
9500,1,28.2,7,336.8794326,,,,,
13000,1,26.5,23,490.5660377,,,,,
28000,2,54,6,518.5185185,,,,,
17000,1,34.5,17,492.7536232,,,,,
15000,1,30.5,14,491.8032787,,,,,
12000,1,39,6,307.6923077,,,,,
25000,2,78,1,320.5128205,,,,,
19000,1,36,12,527.7777778,,,,,
13000,1,48,4,270.8333333,,,,,
15000,1,38,15,394.7368421,,,,,
18000,1,28,4,642.8571429,,,,,
17000,1,40,19,425,,,,,
14000,1,48,4,291.6666667,,,,,
7000,1,28.5,7,245.6140351,,,,,
6500,สตูดิโอ,31,4,209.6774194,,,,,
6500,1,31,4,209.6774194,,,,,
15000,1,31,3,483.8709677,,,,,
8800,1,28,2,314.2857143,,,,,
15000,1,29.8,7,503.3557047,,,,,
19000,สตูดิโอ,40,23,475,,,,,
16500,1,32,12A,515.625,,,,,
11000,1,30,2,366.6666667,,,,,
12000,1,41.7,8,287.7697842,,,,,
20000,2,58,8,344.8275862,,,,,
12000,1,28,13,428.5714286,,,,,
19000,สตูดิโอ,35,10,542.8571429,,,,,
10000,สตูดิโอ,24.5,4,408.1632653,,,,,
22000,1,36.4,3,604.3956044,,,,,
12000,1,30,14,400,,,,,
8000,1,28.5,2,280.7017544,,,,,
30000,สตูดิโอ,40,40,750,,,,,
9000,1,31,8,290.3225806,,,,,
25500,Duplex,40,21,637.5,,,,,
15000,1,30,12,500,,,,,
8500,สตูดิโอ,28,3,303.5714286,,,,,
15000,1,38,9,394.7368421,,,,,
8000,สตูดิโอ,31,3,258.0645161,,,,,
15000,1,35,4,428.5714286,,,,,
9500,1,31,6,306.4516129,,,,,
9500,1,28.2,3,336.8794326,,,,,
15000,1,32,2,468.75,,,,,
16000,1,34,6,470.5882353,,,,,
26000,1,49.6,15,524.1935484,,,,,
8000,สตูดิโอ,35,1,228.5714286,,,,,
28000,2,60.6,27,462.0462046,,,,,
9500,สตูดิโอ,31,6,306.4516129,,,,,
17000,1,31,2,548.3870968,,,,,
10500,สตูดิโอ,31,6,338.7096774,,,,,
16000,1,31,12A,516.1290323,,,,,
19000,1,35,10,542.8571429,,,,,
17500,1,40,3,437.5,,,,,
10000,1,24.5,4,408.1632653,,,,,
17000,1,27,18,629.6296296,,,,,
14000,1,27,11,518.5185185,,,,,
14000,สตูดิโอ,23,26,608.6956522,,,,,
12000,1,30,28,400,,,,,
7500,1,28.5,6,263.1578947,,,,,
16000,1,28.8,15,555.5555556,,,,,
17000,1,45.2,11,376.1061947,,,,,
13000,สตูดิโอ,26,24,500,,,,,
19500,1,36,2,541.6666667,,,,,
12000,สตูดิโอ,22,12,545.4545455,,,,,
18500,2,47,11,393.6170213,,,,,
10000,1,30,6,333.3333333,,,,,
9000,สตูดิโอ,22,2,409.0909091,,,,,
18000,1,30,11,600,,,,,
13000,1,32,12A,406.25,,,,,
10000,1,25,7,400,,,,,
8500,1,22,7,386.3636364,,,,,
14000,1,31,5,451.6129032,,,,,
12500,1,27,1,462.962963,,,,,
13000,1,27,36,481.4814815,,,,,
13000,1,34,28,382.3529412,,,,,
18000,1,31,11,580.6451613,,,,,
11000,1,28,7,392.8571429,,,,,
8500,1,30,5,283.3333333,,,,,
7500,1,32,5,234.375,,,,,
14000,1,38,8,368.4210526,,,,,
6900,1,29,8,237.9310345,,,,,
17000,1,30,26,566.6666667,,,,,
6500,1,23,4,282.6086957,,,,,
20000,1,34.5,23,579.7101449,,,,,
25000,2,85,6,294.1176471,,,,,
14000,1,30,25,466.6666667,,,,,
60000,2,82,27,731.7073171,,,,,
14000,สตูดิโอ,30,25,466.6666667,,,,,
12000,1,26,13,461.5384615,,,,,
12000,1,30,19,400,,,,,
7000,1,31,8,225.8064516,,,,,
7000,สตูดิโอ,31,7,225.8064516,,,,,
15000,สตูดิโอ,38,23,394.7368421,,,,,
11000,1,30,28,366.6666667,,,,,
23000,สตูดิโอ,34.3,18,670.5539359,,,,,
14000,1,30,29,466.6666667,,,,,
12000,1,36,4,333.3333333,,,,,
45000,3,120,3,375,,,,,
40000,2,65,14,615.3846154,,,,,
14000,1,35,10,400,,,,,
11500,สตูดิโอ,27,16,425.9259259,,,,,
8900,สตูดิโอ,24,3,370.8333333,,,,,
25000,2,47,12A,531.9148936,,,,,
15000,1,31,20,483.8709677,,,,,
30000,2,49,10,612.244898,,,,,
45000,2,68,7,661.7647059,,,,,
15000,1,30,22,500,,,,,
7500,1,28,8,267.8571429,,,,,
15000,2,35,7,428.5714286,,,,,
11000,สตูดิโอ,22.5,7,488.8888889,,,,,
22000,1,40,21,550,,,,,
23000,1,41,11,560.9756098,,,,,
15000,1,28,7,535.7142857,,,,,
25000,2,45,7,555.5555556,,,,,
17000,1,34,4,500,,,,,
19000,สตูดิโอ,37,9,513.5135135,,,,,
11000,1,33,17,333.3333333,,,,,
11000,2,57,5,192.9824561,,,,,
17000,1,30,27,566.6666667,,,,,
37500,1,52,23,721.1538462,,,,,
45000,1,60,26,750,,,,,
37500,1,52,18,721.1538462,,,,,
35000,1,40,34,875,,,,,
9000,1,28,8,321.4285714,,,,,
37500,1,51,16,735.2941176,,,,,
45000,2,60,21,750,,,,,
45000,2,61,32,737.704918,,,,,
50000,1,51,41,980.3921569,,,,,
14000,1,34,8,411.7647059,,,,,
13500,1,30,4,450,,,,,
15000,1,30,7,500,,,,,
11000,1,30,6,366.6666667,,,,,
13000,1,30,9,433.3333333,,,,,
8500,1,36,6,236.1111111,,,,,
35000,2,31,17,1129.032258,,,,,
10000,1,21,19,476.1904762,,,,,
12000,1,31,2,387.0967742,,,,,
13000,1,30,29,433.3333333,,,,,
13000,1,29,5,448.2758621,,,,,
14500,1,39,8,371.7948718,,,,,
20000,2,64,5-ต.ค.,312.5,,,,,
12000,1,31,7,387.0967742,,,,,
11000,1,30,14,366.6666667,,,,,
12000,1,30,10,400,,,,,
8000,1,31,3,258.0645161,,,,,
7500,1,31,7,241.9354839,,,,,
15000,1,31,2,483.8709677,,,,,
12500,1,29,7,431.0344828,,,,,
12000,1,39,5-ต.ค.,307.6923077,,,,,
25000,2,60,5,416.6666667,,,,,
13000,1,32,4,406.25,,,,,
11500,1,31,13,370.9677419,,,,,
12000,1,30,9,400,,,,,
12000,1,30,15,400,,,,,
11000,1,30,7,366.6666667,,,,,
13500,1,30,29,450,,,,,
8500,1,36,4,236.1111111,,,,,
42000,3,88,19,477.2727273,,,,,
18000,1,27.7,15+,649.8194946,,,,,
11500,สตูดิโอ,26,5,442.3076923,,,,,
20000,1,32.5,20,615.3846154,,,,,
17000,สตูดิโอ,23,20,739.1304348,,,,,
14000,สตูดิโอ,23.2,25+,603.4482759,,,,,
35000,2,54.6,40+,641.025641,,,,,
23000,1,26,40+,884.6153846,,,,,
26000,1,45,29,577.7777778,,,,,
13000,1,31,7,419.3548387,,,,,
12500,1,31,3,403.2258065,,,,,
13000,1,31,10,419.3548387,,,,,
13000,1,31,37,419.3548387,,,,,
20000,1,35,7,571.4285714,,,,,
55000,2,82,12,670.7317073,,,,,
22000,2,36,3,611.1111111,,,,,
24000,Duplex,40,15,600,,,,,
18000,1,33,17,545.4545455,,,,,
10000,1,28,3,357.1428571,,,,,
13000,2,65,-,200,,,,,
18000,1,35,9,514.2857143,,,,,
19000,1,67,3,283.5820896,,,,,
13000,1,43,16,302.3255814,,,,,
23000,1,40.1,28,573.5660848,,,,,
14000,1,33,9,424.2424242,,,,,
17000,1,38,15,447.3684211,,,,,
20000,1,35.8,6,558.6592179,,,,,
18000,1,27.5,21,654.5454545,,,,,
19500,1,37.3,5,522.7882038,,,,,
21000,1,48,4,437.5,,,,,
25000,2,95,3,263.1578947,,,,,
13000,1,23.1,25,562.7705628,,,,,
40000,1,54,22,740.7407407,,,,,
15000,1,43,11,348.8372093,,,,,
16000,1,69,4,231.884058,,,,,
12000,1,26.5,15,452.8301887,,,,,
17000,1,27.7,28,613.7184116,,,,,
18000,สตูดิโอ,40,21,450,,,,,
45000,2,60,30,750,,,,,
42000,2,80,4,525,,,,,
25000,2,65,3,384.6153846,,,,,
22000,2,58,4,379.3103448,,,,,
15000,1,32,12,468.75,,,,,
7500,1,22.9,2,327.510917,,,,,
28000,2,54,18,518.5185185,,,,,
25000,2,78,3,320.5128205,,,,,
16500,สตูดิโอ,39.5,18,417.721519,,,,,
22000,1,42,8,523.8095238,,,,,
20000,1,43,2,465.1162791,,,,,
12000,1,34,7,352.9411765,,,,,
30000,1,45,21,666.6666667,,,,,
17000,1,36,1,472.2222222,,,,,
15000,สตูดิโอ,30.5,14,491.8032787,,,,,
19900,2,53,6,375.4716981,,,,,
19000,1,36,12A,527.7777778,,,,,
16000,1,31,20,516.1290323,,,,,
12000,1,26,7,461.5384615,,,,,
17000,1,40,23,425,,,,,
32000,2,52,22,615.3846154,,,,,
18000,2,58,6,310.3448276,,,,,
22000,2,54,4,407.4074074,,,,,
17000,1,30.2,16,562.9139073,,,,,
19800,1,34.4,2,575.5813953,,,,,
9000,สตูดิโอ,32,6,281.25,,,,,
7500,1,32,7,234.375,,,,,
14000,1,35,3,400,,,,,
13000,1,32,6,406.25,,,,,
16000,1,30,30,533.3333333,,,,,
50000,2,67,7,746.2686567,,,,,
12000,1,26,3,461.5384615,,,,,
7500,สตูดิโอ,32,7,234.375,,,,,
42000,2,76,32,552.6315789,,,,,
23000,1,43,2,534.8837209,,,,,
10000,1,26,16,384.6153846,,,,,
10000,1,36,7,277.7777778,,,,,
40000,1,65,31,615.3846154,,,,,
9000,สตูดิโอ,30.6,8,294.1176471,,,,,
14000,สตูดิโอ,26,24,538.4615385,,,,,
29000,2,59,6,491.5254237,,,,,
18000,1,31,23,580.6451613,,,,,
16500,2,81.1,1,203.4525277,,,,,
6800,1,22,2,309.0909091,,,,,
40000,2,66,16,606.0606061,,,,,
45000,2,76,32,592.1052632,,,,,
10000,2,60,9,166.6666667,,,,,
18000,1,38,3,473.6842105,,,,,
15000,สตูดิโอ,31,14,483.8709677,,,,,
18000,1,30.6,6,588.2352941,,,,,
19000,1,69,3,275.3623188,,,,,
12000,สตูดิโอ,22,11,545.4545455,,,,,
18000,1,42,11,428.5714286,,,,,
26000,2,49.6,15,524.1935484,,,,,
7500,1,28.1,6,266.9039146,,,,,
14000,1,31.4,15,445.8598726,,,,,
18000,1,41,26,439.0243902,,,,,
14000,สตูดิโอ,30,7,466.6666667,,,,,
12500,1,28.6,5,437.0629371,,,,,
22000,2,56,3,392.8571429,,,,,
17000,1,32,23,531.25,,,,,
18000,1,26.5,7,679.245283,,,,,
25000,2,78,6,320.5128205,,,,,
6500,1,22.5,4,288.8888889,,,,,
15000,1,58,4,258.6206897,,,,,
13500,1,44,6,306.8181818,,,,,
16000,2,68.2,1,234.6041056,,,,,
23000,2,60,6,383.3333333,,,,,
25000,2,74,6,337.8378378,,,,,
18000,2,64,2,281.25,,,,,
20000,1,36,7,555.5555556,,,,,
15000,1,35,30,428.5714286,,,,,
14500,1,33,6,439.3939394,,,,,
48000,2,65,6,738.4615385,,,,,
15000,1,56.5,1,265.4867257,,,,,
14000,1,32,6,437.5,,,,,
13000,1,58,1,224.137931,,,,,
13500,1,43.5,6,310.3448276,,,,,
35000,3,85,4,411.7647059,,,,,
14000,1,30.6,26,457.5163399,,,,,
12500,1,30,24,416.6666667,,,,,
11000,1,26,6,423.0769231,,,,,
14000,1,32,15,437.5,,,,,
16000,1,35,22,457.1428571,,,,,
25000,2,63,3,396.8253968,,,,,
13000,1,52,3,250,,,,,
28000,2,60,12,466.6666667,,,,,
43000,3,87,5,494.2528736,,,,,
29000,Penthouse,43,24,674.4186047,,,,,
24000,1,43,7,558.1395349,,,,,
25000,1,52.1,พ.ย.-15,479.8464491,,,,,
25000,2,43,สูง,581.3953488,,,,,
24000,1,48,2-พ.ค.,500,,,,,
27000,2,58,-46,465.5172414,,,,,
30000,1,40,สูง,750,,,,,
15000,1,35,2,428.5714286,,,,,
18000,1,38,16,473.6842105,,,,,
15000,1,30,16,500,,,,,
12500,1,41.5,5,301.2048193,,,,,
20000,2,45,15,444.4444444,,,,,
11000,1,26,34,423.0769231,,,,,
10500,1,26,6,403.8461538,,,,,
13000,1,33,16,393.9393939,,,,,
30000,2,62,36,483.8709677,,,,,
11000,1,28,4,392.8571429,,,,,
25000,2,54,6,462.962963,,,,,
35000,2,51.5,12,679.6116505,,,,,
14000,สตูดิโอ,26,14,538.4615385,,,,,
16000,1,35,21,457.1428571,,,,,
17000,1,35,12,485.7142857,,,,,
17000,1,32,6,531.25,,,,,
18000,1,32,12A,562.5,,,,,
16000,1,69,3,231.884058,,,,,
16000,1,66.8,1,239.5209581,,,,,
35500,2,53.5,38,663.5514019,,,,,
17000,1,35,11,485.7142857,,,,,
19000,1,35,8,542.8571429,,,,,
16000,1,33,23,484.8484848,,,,,
18500,1,36,2,513.8888889,,,,,
20000,1,31,11,645.1612903,,,,,
28000,2,54,14,518.5185185,,,,,
21000,1,35.5,23,591.5492958,,,,,
14000,1,35,24,400,,,,,
19000,1,35,7,542.8571429,,,,,
18000,1,34,11,529.4117647,,,,,
19000,ประเภทห้อง,36,2,527.7777778,,,,,
18000,1,48,5,375,,,,,
12000,1,28,8,428.5714286,,,,,
25000,2,74,1,337.8378378,,,,,
24000,1,46,4,521.7391304,,,,,
6500,1,23,8,282.6086957,,,,,
7500,1,36,5,208.3333333,,,,,
7000,1,31,7,225.8064516,,,,,
15000,1,30,24,500,,,,,
7500,1,26,2,288.4615385,,,,,
18000,1,40,23,450,,,,,
18000,2,64,5,281.25,,,,,
6500,1,31,8,209.6774194,,,,,
14000,1,23,26,608.6956522,,,,,
18000,1,28,27,642.8571429,,,,,
25000,2,77,3,324.6753247,,,,,
10000,1,32,5,312.5,,,,,
25000,1,42,5,595.2380952,,,,,
13500,1,35,2,385.7142857,,,,,
7000,1,22,7,318.1818182,,,,,
9500,1,28,7,339.2857143,,,,,
10000,1,35,18,285.7142857,,,,,
19000,1,43,8,441.8604651,,,,,
15900,1,23,28,691.3043478,,,,,
20000,1,35,24,571.4285714,,,,,
6500,1,22,4,295.4545455,,,,,
9000,1,28,3,321.4285714,,,,,
45000,2,78,9,576.9230769,,,,,
18000,1,30,16,600,,,,,
27000,2,52,22,519.2307692,,,,,
15000,1,30,14,500,,,,,
15000,1,38,27,394.7368421,,,,,
7500,1,23,7,326.0869565,,,,,
13500,1,43,8,313.9534884,,,,,
11000,1,25,7,440,,,,,
8000,1,31,7,258.0645161,,,,,
7000,1,23,5,304.3478261,,,,,
22000,1,35,10,628.5714286,,,,,
9500,1,30,4,316.6666667,,,,,
13000,1,33,22,393.9393939,,,,,
10000,1,28,6,357.1428571,,,,,
13000,1,35,14,371.4285714,,,,,
24000,2,70,7,342.8571429,,,,,
10000,1,28,5,357.1428571,,,,,
23500,Duplex,42,a992,559.5238095,,,,,
7000,1,35,1,200,,,,,
13000,1,32,5,406.25,,,,,
12000,สตูดิโอ,28,15,428.5714286,,,,,
11000,สตูดิโอ,30,20+,366.6666667,,,,,
10000,สตูดิโอ,29.5,18,338.9830508,,,,,
16500,2,130,7,126.9230769,,,,,
22000,2,40,30,550,,,,,
14000,1,38,3,368.4210526,,,,,
4500,3,28,3,160.7142857,,,,,
12000,1,36.1,6,332.4099723,,,,,
7500,1,22.5,9,333.3333333,,,,,
19500,1,35,8,557.1428571,,,,,
38000,2,62,23,612.9032258,,,,,
13000,1,28,8,464.2857143,,,,,
16500,1,24,6,687.5,,,,,
40000,2,62,25,645.1612903,,,,,
23000,1,40,11,575,,,,,
15000,1,26,6,576.9230769,,,,,
14000,สตูดิโอ,31,23,451.6129032,,,,,
22000,1,40,3,550,,,,,
16000,1,30,22,533.3333333,,,,,
18000,1,35.1,14,512.8205128,,,,,
30000,2,60,17,500,,,,,
40000,2,65,28,615.3846154,,,,,
18000,1,27,22,666.6666667,,,,,
33000,2,52,28,634.6153846,,,,,
18000,1,30,30,600,,,,,
15000,สตูดิโอ,23,29,652.173913,,,,,
24000,2,44,10,545.4545455,,,,,
18000,1,40,8,450,,,,,
22000,2,51,17,431.372549,,,,,
23000,1,40,4,575,,,,,
19000,1,30.6,6,620.9150327,,,,,
20000,สตูดิโอ,26,21,769.2307692,,,,,
26500,2,54,19,490.7407407,,,,,
22000,1,35,21,628.5714286,,,,,
12000,สตูดิโอ,27,6,444.4444444,,,,,
18000,1,35,14,514.2857143,,,,,
